,accuracies
0,0.5426952242851257
1,0.590190589427948
2,0.6082162857055664
3,0.6159958839416504
4,0.620428740978241
5,0.6284408569335938
6,0.6231653094291687
7,0.6267043352127075
8,0.627519428730011
9,0.630532443523407
10,0.6268841624259949
11,0.6290327310562134
12,0.6269343495368958
13,0.6237402558326721
14,0.6342922449111938
15,0.6265782713890076
16,0.6261367201805115
17,0.6200997829437256
18,0.625667154788971
19,0.6267116665840149
20,0.6237078905105591
21,0.6179690957069397
22,0.6238480806350708
23,0.6243669390678406
24,0.623905599117279
25,0.6179720163345337
26,0.6214144229888916
27,0.6220971345901489
28,0.6148223876953125
29,0.6152257919311523
