,Class,# predictions ,Accuracy
0,Neoceratium,22784.0,0.0
1,Noctiluca,145920.0,0.0
2,Phaeodaria,200011.0,0.0
3,Acantharea,27136.0,0.0
4,Foraminifera,143104.0,0.0
5,Spumellaria,6272.0,0.0
6,Coscinodiscus,194251.0,0.0
7,Annelida,69376.0,0.0
8,larvae__Annelida,8192.0,0.0
9,Tomopteridae,7040.0,0.0
10,Evadne,206976.0,0.0
11,Podon,48896.0,0.0
12,Penilia,152320.0,0.0
13,larvae__Crustacea,26112.0,0.0
14,Gammaridea,13440.0,0.0
15,Hyperiidea,21632.0,0.0
16,Decapoda,109312.0,0.0
17,Luciferidae,18048.0,0.0
18,zoea__Galatheidae,7808.0,0.0
19,Brachyura,129611.0,0.0
20,megalopa,34432.0,0.0
21,zoea__Decapoda,149835.0,0.0
22,calyptopsis,114944.0,0.0
23,Calanoida,211147.0,0.0
24,Acartiidae,211147.0,0.0
25,Euchirella,6784.0,0.0
26,Haloptilus,113920.0,0.0
27,Calanidae,209611.0,0.0
28,Candaciidae,65280.0,0.0
29,Centropagidae,124928.0,0.0
30,Eucalanidae,122955.0,0.0
31,Euchaetidae,72907.0,0.0
32,Calocalanus pavo,9856.0,0.0
33,Pontellidae,48203.0,0.0
34,Rhincalanidae,44544.0,0.0
35,Temoridae,168576.0,0.0
36,Oithonidae,211147.0,0.0
37,Harpacticoida,87499.0,0.0
38,multiple__Copepoda,89216.0,0.0
39,part__Copepoda,14592.0,0.0
40,Corycaeidae,185035.0,0.0
41,Oncaeidae,190539.0,0.0
42,Sapphirinidae,47616.0,0.0
43,Copilia,26368.0,0.0
44,cirrus,11776.0,0.0
45,cypris,25600.0,0.0
46,nauplii__Cirripedia,149195.0,0.0
47,metanauplii,7040.0,0.0
48,nauplii__Crustacea,173131.0,0.0
49,Ostracoda,196683.0,0.0
50,cyphonaute,173696.0,0.0
51,Chaetognatha,211147.0,0.0
52,head,9856.0,0.0
53,tail__Chaetognatha,92875.0,0.0
54,Actinopterygii,48384.0,0.0
55,egg__Actinopterygii,73984.0,0.0
56,scale,23040.0,0.0
57,Fritillariidae,73472.0,0.0
58,Oikopleuridae,206283.0,0.0
59,tail__Appendicularia,129536.0,0.0
60,Doliolida,100608.0,0.0
61,Pyrosomatida,14336.0,0.0
62,Salpida,160512.0,0.0
63,Obelia,44544.0,0.0
64,eudoxie__Abylopsis_tetragona,9216.0,0.0
65,gonophore__Abylopsis_tetragona,2560.0,0.0
66,nectophore__Abylopsis_tetragona,7040.0,0.0
67,eudoxie__Diphyidae,100171.0,0.0
68,gonophore__Diphyidae,99584.0,0.0
69,nectophore__Diphyidae,136448.0,0.0
70,nectophore__Physonectae,41600.0,0.0
71,Aglaura,16640.0,0.0
72,Rhopalonema,13952.0,0.0
73,Scyphozoa,3584.0,0.0
74,ephyra,3456.0,0.0
75,Ctenophora,1664.0,0.0
76,Echinoidea,9088.0,0.0
77,Ophiuroidea,49536.0,0.0
78,Bivalvia__Mollusca,114507.0,0.0
79,Cavoliniidae,89216.0,0.0
80,egg__Cavolinia_inflexa,30080.0,0.0
81,Creseidae,68096.0,0.0
82,Limacinidae,184395.0,0.0
83,Limacidae,26624.0,0.0
